# ============================================================
# ComfyUI Eclipse - Workflow Migration Node Name Mappings (RvTools v2 [])
# Format: Legacy Node Type ID (Find)|Unified Node Type ID (Replace)
# Lines starting with # are ignored.
# ============================================================

Save Images [RvTools]|Save Images [Eclipse]
Boolean [RvTools]|Boolean [Eclipse]
Float [RvTools]|Float [Eclipse]
Integer [RvTools]|Integer [Eclipse]
String [RvTools]|String [Eclipse]
String Multiline [RvTools]|String Multiline [Eclipse]
String Multiline with List [RvTools]|String Multiline [Eclipse]
Add Folder [RvTools]|Add Folder [Eclipse]
Add Filename Prefix [RvTools]|Add Filename Prefix [Eclipse]
Loop Calculator [RvTools]|Loop Calculator [Eclipse]
Keep Calculator [RvTools]|Keep Calculator [Eclipse]
ControlNet Set Union Types (Flux) [RvTools]|ControlNet Set Union Types (Flux) [Eclipse]
Merge Strings [RvTools]|Merge Strings [Eclipse]
Merge Strings v2 [RvTools]|Merge Strings [Eclipse]
Merge Strings (Large) [RvTools]|Merge Strings [Eclipse]
String from List [RvTools]|String from List [Eclipse]
Widget to String [RvTools]|Widget to String [Eclipse]
IF A Else B [RvTools]|IF A Else B [Eclipse]
Pipe 12CH Any [RvTools]|Pipe 12CH Any [Eclipse]
Preview Image [RvTools]|Preview Image [Eclipse]
Replace String [RvTools]|Replace String v3 [Eclipse]
WanVideo Setup [RvTools]|WanVideo Setup [Eclipse]
Pipe Out WanVideo Setup [RvTools]|Pipe Out WanVideo Setup [Eclipse]
Project Folder [RvTools]|Folder Path [Eclipse]
Any Switch [RvTools]|Any Dual-Switch [Eclipse]
Any Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Image Switch [RvTools]|Any Dual-Switch [Eclipse]
Image Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Latent Switch [RvTools]|Any Dual-Switch [Eclipse]
Latent Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Model Switch [RvTools]|Any Dual-Switch [Eclipse]
Model Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
CLIP Switch [RvTools]|Any Dual-Switch [Eclipse]
CLIP Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
VAE Switch [RvTools]|Any Dual-Switch [Eclipse]
VAE Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Vae Switch [RvTools]|Any Dual-Switch [Eclipse]
Vae Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Conditioning Switch [RvTools]|Any Dual-Switch [Eclipse]
Conditioning Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Mask Switch [RvTools]|Any Dual-Switch [Eclipse]
Mask Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
ControlNet Switch [RvTools]|Any Dual-Switch [Eclipse]
ControlNet Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Basic Pipe Switch [RvTools]|Any Dual-Switch [Eclipse]
Basic Pipe Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Pipe Switch [RvTools]|Any Dual-Switch [Eclipse]
Pipe Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
String Switch [RvTools]|Any Dual-Switch [Eclipse]
String Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Integer Switch [RvTools]|Any Dual-Switch [Eclipse]
Integer Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Int Switch [RvTools]|Any Dual-Switch [Eclipse]
Int Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Float Switch [RvTools]|Any Dual-Switch [Eclipse]
Float Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Boolean Switch [RvTools]|Any Dual-Switch [Eclipse]
Boolean Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Audio Switch [RvTools]|Any Dual-Switch [Eclipse]
Audio Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Detailer Pipe Switch [RvTools]|Any Dual-Switch [Eclipse]
Detailer Pipe Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
Segs Switch [RvTools]|Any Dual-Switch [Eclipse]
Segs Multi-Switch [RvTools]|Any Multi-Switch [Eclipse]
